slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
crust-network,Crust Network,,"[""[Website](https://crust.network/)""]",Storage,"[""Decentralized Storage""]",$0,Free,,"It is a purpose built layer 1 blockchain providing composable cloud storage solutions for developers, builders and end-users of all ecosystems",FALSE
filebase-enterprise,Filebase,,"[""[Website](https://filebase.com/pricing/)""]",Storage,"[""Smart storage""]",Custom,Enterprise,,"It is a managed object-storage service built on Google Cloud Storage that lets you upload, store, and serve user-generated files (images, videos, documents, etc.) in Firebase-powered apps",FALSE
filebase-free,Filebase,,"[""[Website](https://filebase.com/pricing/)""]",Storage,"[""Smart storage""]",$0,Free,,"It is a managed object-storage service built on Google Cloud Storage that lets you upload, store, and serve user-generated files (images, videos, documents, etc.) in Firebase-powered apps",FALSE
filebase-pro,Filebase,,"[""[Website](https://filebase.com/pricing/)""]",Storage,"[""Smart storage""]",$100/mo,Tiered,Pro,"It is a managed object-storage service built on Google Cloud Storage that lets you upload, store, and serve user-generated files (images, videos, documents, etc.) in Firebase-powered apps",FALSE
filebase-starter,Filebase,,"[""[Website](https://filebase.com/pricing/)""]",Storage,"[""Smart storage""]",$20/mo,Tiered,Starter,"It is a managed object-storage service built on Google Cloud Storage that lets you upload, store, and serve user-generated files (images, videos, documents, etc.) in Firebase-powered apps",FALSE
filebase-unlimited,Filebase,,"[""[Website](https://filebase.com/pricing/)""]",Storage,"[""Smart storage""]",$500/mo,Tiered,Unlimited,"It is a managed object-storage service built on Google Cloud Storage that lets you upload, store, and serve user-generated files (images, videos, documents, etc.) in Firebase-powered apps",FALSE
irys,Irys,,"[""[Website](https://irys.xyz/)"",""[Docs](https://docs.irys.xyz/)""]",Storage,"[""Arweave"",""Permanent storage"",""Data provenance"",""Pay-per-use""]",Custom,Pay-As-You-Go,,"Programmable datachain enabling permanent on-chain data storage with verifiable provenance and instant access, designed for AI and large-scale data applications",FALSE
lighthouse-beacon,Lighthouse,,"[""[Website](https://www.lighthouse.storage/)"",""[Docs](https://docs.lighthouse.storage/)""]",Storage,"[""IPFS"",""Filecoin"",""Encryption"",""Permanent storage""]",$20/lifetime,One-time payment,Beacon,"Permanent decentralized storage powered by IPFS and Filecoin with a free 5 GB tier, encryption, token-gated access control, and dedicated IPFS gateways",FALSE
lighthouse-enterprise,Lighthouse,,"[""[Website](https://www.lighthouse.storage/)"",""[Docs](https://docs.lighthouse.storage/)""]",Storage,"[""IPFS"",""Filecoin"",""Encryption"",""Permanent storage""]",Custom,Enterprise,,"Permanent decentralized storage powered by IPFS and Filecoin with a free 5 GB tier, encryption, token-gated access control, and dedicated IPFS gateways",FALSE
lighthouse-free,Lighthouse,,"[""[Website](https://www.lighthouse.storage/)"",""[Docs](https://docs.lighthouse.storage/)""]",Storage,"[""IPFS"",""Filecoin"",""Encryption"",""Permanent storage""]",$0,Free,,"Permanent decentralized storage powered by IPFS and Filecoin with a free 5 GB tier, encryption, token-gated access control, and dedicated IPFS gateways",FALSE
lighthouse-harbour,Lighthouse,,"[""[Website](https://www.lighthouse.storage/)"",""[Docs](https://docs.lighthouse.storage/)""]",Storage,"[""IPFS"",""Filecoin"",""Encryption"",""Permanent storage""]",$500/lifetime,One-time payment,Harbour,"Permanent decentralized storage powered by IPFS and Filecoin with a free 5 GB tier, encryption, token-gated access control, and dedicated IPFS gateways",FALSE
lighthouse-lite,Lighthouse,,"[""[Website](https://www.lighthouse.storage/)"",""[Docs](https://docs.lighthouse.storage/)""]",Storage,"[""IPFS"",""Filecoin"",""Encryption"",""Permanent storage""]","$12/mo (monthly plan), $120/annum (yearly plan)",Tiered,Lite,"Permanent decentralized storage powered by IPFS and Filecoin with a free 5 GB tier, encryption, token-gated access control, and dedicated IPFS gateways",FALSE
lighthouse-navigator,Lighthouse,,"[""[Website](https://www.lighthouse.storage/)"",""[Docs](https://docs.lighthouse.storage/)""]",Storage,"[""IPFS"",""Filecoin"",""Encryption"",""Permanent storage""]",$100/lifetime,One-time payment,Navigator,"Permanent decentralized storage powered by IPFS and Filecoin with a free 5 GB tier, encryption, token-gated access control, and dedicated IPFS gateways",FALSE
lighthouse-premium,Lighthouse,,"[""[Website](https://www.lighthouse.storage/)"",""[Docs](https://docs.lighthouse.storage/)""]",Storage,"[""IPFS"",""Filecoin"",""Encryption"",""Permanent storage""]","$49/mo (monthly plan), $499/annum (yearly plan)",Tiered,Premium,"Permanent decentralized storage powered by IPFS and Filecoin with a free 5 GB tier, encryption, token-gated access control, and dedicated IPFS gateways",FALSE
pinata-enterprise,Pinata,,"[""[Contact](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",Storage,"[""IPFS"",""Pinning service""]",Custom,Enterprise,,"IPFS pinning and file storage service trusted by 600,000+ developers with plans from free to enterprise",FALSE
pinata-fiesta,Pinata,,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",Storage,"[""IPFS"",""Pinning service""]",$100/mo,Tiered,Fiesta,"IPFS pinning and file storage service trusted by 600,000+ developers with plans from free to enterprise",FALSE
pinata-free,Pinata,,"[""[Website](https://pinata.cloud/)"",""[Docs](https://docs.pinata.cloud/)""]",Storage,"[""IPFS"",""Pinning service""]",$0,Free,,"IPFS pinning and file storage service trusted by 600,000+ developers with plans from free to enterprise",FALSE
pinata-picnic,Pinata,,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",Storage,"[""IPFS"",""Pinning service""]",$20/mo,Tiered,Picnic,"IPFS pinning and file storage service trusted by 600,000+ developers with plans from free to enterprise",FALSE
storacha-extra-spicy,Storacha,,"[""[Website](https://storacha.network/)"",""[Docs](https://docs.storacha.network/)""]",Storage,"[""IPFS"",""Filecoin"",""Decentralized"",""Hot storage""]",$100/mo,Tiered,Extra Spicy,"Decentralized hot storage network built on IPFS and Filecoin with petabyte-scale throughput and verifiable content-addressed data, evolved from web3.storage",FALSE
storacha-medium,Storacha,,"[""[Website](https://storacha.network/)"",""[Docs](https://docs.storacha.network/)""]",Storage,"[""IPFS"",""Filecoin"",""Decentralized"",""Hot storage""]",$10/mo,Tiered,Medium,"Decentralized hot storage network built on IPFS and Filecoin with petabyte-scale throughput and verifiable content-addressed data, evolved from web3.storage",FALSE
storacha-mild,Storacha,,"[""[Website](https://storacha.network/)"",""[Docs](https://docs.storacha.network/)""]",Storage,"[""IPFS"",""Filecoin"",""Decentralized"",""Hot storage""]",$0,Free,Mild,"Decentralized hot storage network built on IPFS and Filecoin with petabyte-scale throughput and verifiable content-addressed data, evolved from web3.storage",FALSE
storj-advanced,Storj,Object Storage,"[""[Website](https://www.storj.io/pricing)"",""[Docs](https://storj.dev/dcs/pricing/simplified)""]",Storage,"[""S3-compatible"",""Distributed object storage"",""Data residency"",""SOC 2 Type II""]","$10/TB/mo storage + $7/TB egress",Tiered,Advanced,"Region-specific S3-compatible object storage for compliance and data-residency workloads, with storage in U.S. SOC 2 Type II data centers.",FALSE
storj-standard,Storj,Object Storage,"[""[Website](https://www.storj.io/pricing)"",""[Docs](https://storj.dev/dcs/pricing/simplified)""]",Storage,"[""S3-compatible"",""Distributed object storage"",""Global storage""]","$7/TB/mo storage + $7/TB egress",Tiered,Standard,"Globally distributed S3-compatible object storage with consistent worldwide performance, client-side encryption, and 11 nines durability.",FALSE
swarm,Swarm,,"[""[Website](https://www.ethswarm.org/)"",""[Docs](https://docs.ethswarm.org/docs/)""]",Storage,"[""Decentralized"",""P2P storage""]",Custom,Pay-As-You-Go,,"Decentralized P2P storage and communication infrastructure for building censorship-resistant serverless dapps",FALSE
zeeve-build,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",$199/mo,Tiered,Build,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
zeeve-enterprise,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",Custom,Enterprise,,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
zeeve-free,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",$0,Free,,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
zeeve-growth,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",$999/mo,Tiered,Growth,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
zeeve-launch,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",$20/mo,Tiered,Launch,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
